timestamp,packets_sent,bytes_sent,elapsed_time,packet_rate,bandwidth,cpu_usage,memory_usage,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv,attack_intensity,src_ip,dest_ip
2024-09-22 18:25:59.633616,0,0,62.94931674003601,0.0,0.0,11.7,45.2,140205446,22857457874,339898,16403875,1.771561000000001,,192.168.1.100
2024-09-22 18:26:00.635234,0,0,63.95093512535095,0.0,0.0,6.0,45.2,140225403,22857463699,339931,16403902,1.771561000000001,,192.168.1.100
2024-09-22 18:26:01.636857,0,0,64.95255827903748,0.0,0.0,3.5,45.2,140248814,22857500703,339987,16403958,1.771561000000001,,192.168.1.100
2024-09-22 18:26:02.637619,0,0,65.95331978797913,0.0,0.0,1.0,45.2,140252111,22857505621,340001,16403971,1.771561000000001,,192.168.1.100
2024-09-22 18:26:03.639265,0,0,66.95496582984924,0.0,0.0,3.0,45.2,140265907,22857508614,340030,16403997,1.771561000000001,,192.168.1.100
2024-09-22 18:26:04.640872,0,0,67.95657348632812,0.0,0.0,7.5,45.2,140423480,22857596866,340095,16404055,1.771561000000001,,192.168.1.100
2024-09-22 18:26:05.641659,0,0,68.957359790802,0.0,0.0,18.9,45.2,140535716,22857686931,340244,16404197,1.771561000000001,,192.168.1.100
2024-09-22 18:26:06.643317,0,0,69.95901775360107,0.0,0.0,8.0,45.2,140583192,22857710218,340350,16404293,1.771561000000001,,192.168.1.100
2024-09-22 18:26:07.645035,0,0,70.96073627471924,0.0,0.0,4.5,45.2,140604261,22857743332,340404,16404350,1.771561000000001,,192.168.1.100
2024-09-22 18:26:08.649852,0,0,71.9655532836914,0.0,0.0,3.0,45.2,140626475,22857777440,340471,16404423,1.9487171000000014,,192.168.1.100
2024-09-22 18:26:09.651452,0,0,72.96715307235718,0.0,0.0,5.5,45.2,140720137,22857822459,340519,16404464,1.9487171000000014,,192.168.1.100
2024-09-22 18:26:10.652997,0,0,73.96869850158691,0.0,0.0,41.8,44.7,140723675,22857825606,340546,16404487,1.9487171000000014,,192.168.1.100
